zone,param,timestamp,value
Okhla,humidity,2026-06-13 10:00:00,58.7
Okhla,humidity,2026-06-13 11:00:00,58.6
Okhla,humidity,2026-06-13 12:00:00,52.9
Okhla,humidity,2026-06-13 13:00:00,45.3
Okhla,humidity,2026-06-13 14:00:00,41.5
Okhla,humidity,2026-06-13 15:00:00,42.5
Okhla,humidity,2026-06-13 16:00:00,40.0
Okhla,humidity,2026-06-13 17:00:00,42.5
Okhla,humidity,2026-06-13 18:00:00,47.5
Okhla,humidity,2026-06-13 19:00:00,49.8
Okhla,humidity,2026-06-13 20:00:00,54.1
Okhla,humidity,2026-06-13 21:00:00,58.5
Okhla,humidity,2026-06-13 22:00:00,62.0
Okhla,humidity,2026-06-13 23:00:00,66.2
Okhla,humidity,2026-06-14 00:00:00,63.3
Okhla,humidity,2026-06-14 01:00:00,64.6
Okhla,humidity,2026-06-14 02:00:00,66.2
Okhla,humidity,2026-06-14 03:00:00,68.5
Okhla,humidity,2026-06-14 04:00:00,72.2
Okhla,humidity,2026-06-14 05:00:00,72.2
Okhla,humidity,2026-06-14 06:00:00,70.7
Okhla,humidity,2026-06-14 07:00:00,65.4
Okhla,humidity,2026-06-14 08:00:00,57.4
Okhla,humidity,2026-06-14 09:00:00,51.4
Okhla,humidity,2026-06-14 10:00:00,47.2
Okhla,humidity,2026-06-14 11:00:00,46.1
Okhla,humidity,2026-06-14 12:00:00,42.5
Okhla,humidity,2026-06-14 13:00:00,41.2
Okhla,humidity,2026-06-14 14:00:00,40.4
Okhla,humidity,2026-06-14 15:00:00,37.9
Okhla,humidity,2026-06-14 16:00:00,37.8
Okhla,humidity,2026-06-14 17:00:00,39.0
Okhla,humidity,2026-06-14 18:00:00,43.0
Okhla,humidity,2026-06-14 19:00:00,46.3
Okhla,humidity,2026-06-14 20:00:00,53.8
Okhla,humidity,2026-06-14 21:00:00,56.4
Okhla,humidity,2026-06-14 22:00:00,57.5
Okhla,humidity,2026-06-14 23:00:00,56.1
Okhla,humidity,2026-06-15 00:00:00,55.8
Okhla,humidity,2026-06-15 01:00:00,53.7
Okhla,humidity,2026-06-15 02:00:00,52.4
Okhla,humidity,2026-06-15 03:00:00,51.6
Okhla,humidity,2026-06-15 04:00:00,53.8
Okhla,humidity,2026-06-15 05:00:00,54.9
Okhla,humidity,2026-06-15 06:00:00,55.0
Okhla,humidity,2026-06-15 07:00:00,54.0
Okhla,humidity,2026-06-15 08:00:00,52.6
Okhla,humidity,2026-06-15 09:00:00,54.9
Okhla,humidity,2026-06-15 10:00:00,54.3
Okhla,humidity,2026-06-15 11:00:00,44.0
Okhla,humidity,2026-06-15 12:00:00,39.5
Okhla,humidity,2026-06-15 13:00:00,39.9
Okhla,humidity,2026-06-15 14:00:00,40.7
Okhla,humidity,2026-06-15 15:00:00,49.7
Okhla,humidity,2026-06-15 16:00:00,49.5
Okhla,humidity,2026-06-15 17:00:00,48.6
Okhla,humidity,2026-06-15 18:00:00,44.8
Okhla,humidity,2026-06-15 19:00:00,43.3
Okhla,humidity,2026-06-15 20:00:00,47.9
Okhla,humidity,2026-06-15 21:00:00,49.6
Okhla,humidity,2026-06-15 22:00:00,52.8
Okhla,humidity,2026-06-15 23:00:00,56.3
Okhla,humidity,2026-06-16 00:00:00,55.3
Okhla,humidity,2026-06-16 01:00:00,57.7
Okhla,humidity,2026-06-16 02:00:00,58.8
Okhla,humidity,2026-06-16 03:00:00,59.4
Okhla,humidity,2026-06-16 04:00:00,61.0
Okhla,humidity,2026-06-16 05:00:00,58.1
Okhla,humidity,2026-06-16 06:00:00,61.4
Okhla,humidity,2026-06-16 07:00:00,57.1
Okhla,humidity,2026-06-16 08:00:00,51.4
Okhla,humidity,2026-06-16 09:00:00,48.4
Okhla,humidity,2026-06-16 10:00:00,85.3
Okhla,humidity,2026-06-16 11:00:00,73.5
Okhla,humidity,2026-06-16 12:00:00,63.8
Okhla,humidity,2026-06-16 13:00:00,56.8
Okhla,humidity,2026-06-16 14:00:00,56.3
Okhla,humidity,2026-06-16 15:00:00,45.3
Okhla,humidity,2026-06-16 16:00:00,46.0
Okhla,humidity,2026-06-16 17:00:00,46.4
Okhla,humidity,2026-06-16 18:00:00,50.7
Okhla,humidity,2026-06-16 19:00:00,56.4
Okhla,humidity,2026-06-16 20:00:00,60.4
Okhla,humidity,2026-06-16 21:00:00,62.7
Okhla,humidity,2026-06-16 22:00:00,64.6
Okhla,humidity,2026-06-16 23:00:00,63.6
Okhla,humidity,2026-06-17 00:00:00,63.8
Okhla,humidity,2026-06-17 01:00:00,65.7
Okhla,humidity,2026-06-17 02:00:00,70.1
Okhla,humidity,2026-06-17 03:00:00,68.4
Okhla,humidity,2026-06-17 04:00:00,71.8
Okhla,humidity,2026-06-17 05:00:00,71.2
Okhla,humidity,2026-06-17 06:00:00,68.7
Okhla,humidity,2026-06-17 07:00:00,64.4
Okhla,humidity,2026-06-17 08:00:00,59.7
Okhla,humidity,2026-06-17 09:00:00,53.7
Okhla,humidity,2026-06-17 10:00:00,47.5
Okhla,humidity,2026-06-17 11:00:00,43.3
Okhla,humidity,2026-06-17 12:00:00,39.0
Okhla,humidity,2026-06-17 13:00:00,37.0
Okhla,humidity,2026-06-17 14:00:00,35.9
Okhla,humidity,2026-06-17 15:00:00,35.6
Okhla,humidity,2026-06-17 16:00:00,35.9
Okhla,humidity,2026-06-17 17:00:00,39.2
Okhla,humidity,2026-06-17 18:00:00,41.0
Okhla,humidity,2026-06-17 19:00:00,43.8
Okhla,humidity,2026-06-17 20:00:00,46.8
Okhla,humidity,2026-06-17 21:00:00,49.6
Okhla,humidity,2026-06-17 22:00:00,52.9
Okhla,humidity,2026-06-17 23:00:00,54.9
Okhla,humidity,2026-06-18 00:00:00,58.2
Okhla,humidity,2026-06-18 01:00:00,59.5
Okhla,humidity,2026-06-18 02:00:00,57.8
Okhla,humidity,2026-06-18 03:00:00,58.0
Okhla,humidity,2026-06-18 04:00:00,58.4
Okhla,humidity,2026-06-18 05:00:00,61.6
Okhla,humidity,2026-06-18 06:00:00,65.6
Okhla,humidity,2026-06-18 07:00:00,58.1
Okhla,humidity,2026-06-18 08:00:00,53.3
