zone,param,timestamp,value
Anand Vihar,PM10,2026-06-13 21:00:00,348.0
Anand Vihar,PM10,2026-06-13 22:00:00,249.0
Anand Vihar,PM10,2026-06-13 23:00:00,387.0
Anand Vihar,PM10,2026-06-14 00:00:00,480.0
Anand Vihar,PM10,2026-06-14 01:00:00,511.0
Anand Vihar,PM10,2026-06-14 02:00:00,442.0
Anand Vihar,PM10,2026-06-14 03:00:00,504.0
Anand Vihar,PM10,2026-06-14 04:00:00,443.0
Anand Vihar,PM10,2026-06-14 05:00:00,337.0
Anand Vihar,PM10,2026-06-14 06:00:00,315.0
Anand Vihar,PM10,2026-06-14 07:00:00,427.0
Anand Vihar,PM10,2026-06-14 08:00:00,313.0
Anand Vihar,PM10,2026-06-14 09:00:00,295.0
Anand Vihar,PM10,2026-06-14 10:00:00,251.0
Anand Vihar,PM10,2026-06-14 11:00:00,289.0
Anand Vihar,PM10,2026-06-14 12:00:00,251.0
Anand Vihar,PM10,2026-06-14 13:00:00,322.0
Anand Vihar,PM10,2026-06-14 14:00:00,328.0
Anand Vihar,PM10,2026-06-14 15:00:00,295.0
Anand Vihar,PM10,2026-06-14 16:00:00,269.0
Anand Vihar,PM10,2026-06-14 17:00:00,238.0
Anand Vihar,PM10,2026-06-14 18:00:00,177.0
Anand Vihar,PM10,2026-06-14 19:00:00,199.0
Anand Vihar,PM10,2026-06-14 20:00:00,280.0
Anand Vihar,PM10,2026-06-14 21:00:00,410.0
Anand Vihar,PM10,2026-06-14 22:00:00,420.0
Anand Vihar,PM10,2026-06-14 23:00:00,526.0
Anand Vihar,PM10,2026-06-15 00:00:00,364.0
Anand Vihar,PM10,2026-06-15 01:00:00,283.0
Anand Vihar,PM10,2026-06-15 02:00:00,133.0
Anand Vihar,PM10,2026-06-15 03:00:00,133.0
Anand Vihar,PM10,2026-06-15 04:00:00,63.0
Anand Vihar,PM10,2026-06-15 05:00:00,56.0
Anand Vihar,PM10,2026-06-15 06:00:00,193.0
Anand Vihar,PM10,2026-06-15 07:00:00,221.0
Anand Vihar,PM10,2026-06-15 08:00:00,333.0
Anand Vihar,PM10,2026-06-15 09:00:00,510.0
Anand Vihar,PM10,2026-06-15 10:00:00,320.0
Anand Vihar,PM10,2026-06-15 11:00:00,211.0
Anand Vihar,PM10,2026-06-15 12:00:00,307.0
Anand Vihar,PM10,2026-06-15 13:00:00,436.0
Anand Vihar,PM10,2026-06-15 14:00:00,284.0
Anand Vihar,PM10,2026-06-15 15:00:00,780.0
Anand Vihar,PM10,2026-06-15 16:00:00,414.0
Anand Vihar,PM10,2026-06-15 17:00:00,161.0
Anand Vihar,PM10,2026-06-15 18:00:00,186.0
Anand Vihar,PM10,2026-06-15 19:00:00,327.0
Anand Vihar,PM10,2026-06-15 20:00:00,272.0
Anand Vihar,PM10,2026-06-15 21:00:00,304.0
Anand Vihar,PM10,2026-06-16 11:00:00,42.0
Anand Vihar,PM10,2026-06-16 12:00:00,184.0
Anand Vihar,PM10,2026-06-16 13:00:00,144.0
Anand Vihar,PM10,2026-06-16 14:00:00,121.0
Anand Vihar,PM10,2026-06-16 15:00:00,272.0
Anand Vihar,PM10,2026-06-16 16:00:00,234.0
Anand Vihar,PM10,2026-06-16 17:00:00,162.0
Anand Vihar,PM10,2026-06-16 18:00:00,211.0
Anand Vihar,PM10,2026-06-16 19:00:00,274.0
Anand Vihar,PM10,2026-06-16 20:00:00,84.0
Anand Vihar,PM10,2026-06-16 21:00:00,156.0
Anand Vihar,PM10,2026-06-16 22:00:00,135.0
Anand Vihar,PM10,2026-06-16 23:00:00,195.0
Anand Vihar,PM10,2026-06-17 00:00:00,153.0
Anand Vihar,PM10,2026-06-17 01:00:00,277.0
Anand Vihar,PM10,2026-06-17 02:00:00,180.0
