zone,param,timestamp,value
Mundka,NO2,2026-06-12 07:00:00,79.6
Mundka,NO2,2026-06-12 08:00:00,76.7
Mundka,NO2,2026-06-12 09:00:00,74.2
Mundka,NO2,2026-06-12 10:00:00,50.8
Mundka,NO2,2026-06-12 11:00:00,56.5
Mundka,NO2,2026-06-12 12:00:00,62.6
Mundka,NO2,2026-06-12 13:00:00,69.3
Mundka,NO2,2026-06-12 14:00:00,64.9
Mundka,NO2,2026-06-12 15:00:00,56.5
Mundka,NO2,2026-06-12 16:00:00,64.9
Mundka,NO2,2026-06-12 17:00:00,69.0
Mundka,NO2,2026-06-12 18:00:00,58.6
Mundka,NO2,2026-06-12 19:00:00,79.3
Mundka,NO2,2026-06-12 20:00:00,76.5
Mundka,NO2,2026-06-12 21:00:00,81.6
Mundka,NO2,2026-06-12 22:00:00,81.4
Mundka,NO2,2026-06-12 23:00:00,82.7
Mundka,NO2,2026-06-13 00:00:00,74.4
Mundka,NO2,2026-06-13 01:00:00,77.3
Mundka,NO2,2026-06-13 02:00:00,76.0
Mundka,NO2,2026-06-13 03:00:00,76.6
Mundka,NO2,2026-06-13 04:00:00,74.3
Mundka,NO2,2026-06-13 05:00:00,74.7
Mundka,NO2,2026-06-13 06:00:00,75.8
Mundka,NO2,2026-06-13 07:00:00,77.7
Mundka,NO2,2026-06-13 08:00:00,83.0
Mundka,NO2,2026-06-13 09:00:00,88.2
Mundka,NO2,2026-06-13 10:00:00,92.4
Mundka,NO2,2026-06-13 11:00:00,91.3
Mundka,NO2,2026-06-13 12:00:00,52.3
Mundka,NO2,2026-06-13 13:00:00,56.5
Mundka,NO2,2026-06-13 14:00:00,73.2
Mundka,NO2,2026-06-13 15:00:00,77.7
Mundka,NO2,2026-06-13 16:00:00,82.3
Mundka,NO2,2026-06-13 17:00:00,84.5
Mundka,NO2,2026-06-13 18:00:00,93.1
Mundka,NO2,2026-06-13 19:00:00,88.8
Mundka,NO2,2026-06-13 20:00:00,109.1
Mundka,NO2,2026-06-13 21:00:00,121.3
Mundka,NO2,2026-06-13 22:00:00,117.1
Mundka,NO2,2026-06-13 23:00:00,126.0
Mundka,NO2,2026-06-14 00:00:00,118.2
Mundka,NO2,2026-06-14 01:00:00,109.9
Mundka,NO2,2026-06-14 02:00:00,113.9
Mundka,NO2,2026-06-14 03:00:00,110.8
Mundka,NO2,2026-06-14 04:00:00,108.1
Mundka,NO2,2026-06-14 05:00:00,105.4
Mundka,NO2,2026-06-14 06:00:00,98.0
Mundka,NO2,2026-06-14 07:00:00,96.4
Mundka,NO2,2026-06-14 08:00:00,83.6
Mundka,NO2,2026-06-14 09:00:00,83.3
Mundka,NO2,2026-06-14 10:00:00,80.9
Mundka,NO2,2026-06-14 11:00:00,95.9
Mundka,NO2,2026-06-14 12:00:00,92.7
Mundka,NO2,2026-06-14 13:00:00,87.6
Mundka,NO2,2026-06-14 14:00:00,81.6
Mundka,NO2,2026-06-14 15:00:00,82.1
Mundka,NO2,2026-06-14 16:00:00,83.1
Mundka,NO2,2026-06-14 17:00:00,81.8
Mundka,NO2,2026-06-14 18:00:00,80.7
Mundka,NO2,2026-06-14 19:00:00,84.3
Mundka,NO2,2026-06-14 20:00:00,93.9
Mundka,NO2,2026-06-14 21:00:00,93.2
Mundka,NO2,2026-06-14 22:00:00,93.1
Mundka,NO2,2026-06-14 23:00:00,101.8
Mundka,NO2,2026-06-15 00:00:00,78.1
Mundka,NO2,2026-06-15 01:00:00,79.5
Mundka,NO2,2026-06-15 02:00:00,76.1
Mundka,NO2,2026-06-15 03:00:00,82.1
Mundka,NO2,2026-06-15 04:00:00,91.4
Mundka,NO2,2026-06-15 05:00:00,101.2
Mundka,NO2,2026-06-15 06:00:00,95.7
Mundka,NO2,2026-06-15 07:00:00,89.3
Mundka,NO2,2026-06-15 08:00:00,82.2
Mundka,NO2,2026-06-15 09:00:00,73.5
